adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
FALSE,,29500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,63,tt0114746,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/29/95,168840000,129,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,The future is history.,Twelve Monkeys,FALSE,7.4,2470
FALSE,,20000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",,577,tt0114681,en,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,"[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/20/95,21284514,106,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All she wanted was a little attention.,To Die For,FALSE,6.7,177
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,8391,tt0114916,en,When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,"[{'name': 'Alliance Communications Corporation', 'id': 2480}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",5/5/95,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,When Night Is Falling,FALSE,5.9,10
FALSE,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,2054,tt0113862,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'The Charlie Mopic Company', 'id': 916}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/29/95,106269971,137,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,FALSE,6.9,115
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,4482,tt0113149,fr,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.518051,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,"[{'name': 'Renn Productions', 'id': 82}, {'name': 'Les Films Flam', 'id': 1614}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2/8/95,0,95,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,French Twist,FALSE,6,43
FALSE,,900000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,880,tt0112379,nl,Antonia,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",2.030174,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,"[{'name': 'Bergen Film', 'id': 575}, {'name': 'Bard Entertainments', 'id': 576}, {'name': 'NPS Televisie', 'id': 577}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}]",9/12/95,0,102,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,A motion picture that celebrates everything you love about life.,Antonia's Line,FALSE,7.2,26
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,8447,tt0112365,en,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",2.15166,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,"[{'name': 'Playhouse International Pictures', 'id': 2492}, {'name': 'The Samuel Goldwyn Company', 'id': 8888}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",9/10/95,0,118,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An elegant seduction. An erotic deception. A stunning revelation.,Angels and Insects,FALSE,6.3,17
FALSE,,3000000,"[{'id': 18, 'name': 'Drama'}]",,406,tt0113247,fr,La Haine,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",12.108196,/jTzBED0leGPwWDqNewye11qzJgd.jpg,"[{'name': 'Egg Pictures', 'id': 802}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Canal+', 'id': 5358}, {'name': 'Les Productions Lazennec', 'id': 5869}, {'name': 'La Sept Cinéma', 'id': 16366}, {'name': 'Kasso Inc. Productions', 'id': 22684}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofinergie 6', 'id': 68518}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",5/31/95,0,98,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,Three Young Friends... One Last Chance.,La Haine,FALSE,7.9,695
FALSE,,24000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,688,tt0112579,en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,5.951077,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/28/95,182016617,135,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,The Bridges of Madison County,FALSE,7.3,397
FALSE,,1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Italo/Judeo Productions', 'id': 46059}, {'name': 'Bill/Phillips', 'id': 46060}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/7/76,28262574,114,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,FALSE,8.1,2632
FALSE,,7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,2074,tt0116324,en,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",5.579088,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,"[{'name': 'Miramax Films', 'id': 14}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/22/96,14702438,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A comedy about sex, love, family and other accidents waiting to happen.",Flirting with Disaster,FALSE,6.3,66
FALSE,"{'id': 91430, 'name': 'The Neverending Story Collection', 'poster_path': '/tXuOhgEbXoba7vVIybzGlnycoNq.jpg', 'backdrop_path': '/2IqXJIR1i0f6Ngq3A6rjXhQNqFc.jpg'}",17000000,"[{'id': 14, 'name': 'Fantasy'}]",,27793,tt0110647,en,The NeverEnding Story III,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,6.252377,/driZCEKL79PaCsZNICSU3xd59sk.jpg,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Dieter Geissler Filmproduktion', 'id': 1766}, {'name': 'Cinevox Filmproduktion GmbH', 'id': 1979}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Miramax', 'id': 53009}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/26/94,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's a brand new beginning in the adventure that never ends,The Neverending Story III: Escape from Fantasia,FALSE,4.4,105
FALSE,,52000000,"[{'id': 18, 'name': 'Drama'}]",,568,tt0112384,en,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",18.761467,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/30/95,355237933,140,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Houston, we have a problem.",Apollo 13,FALSE,7.3,1637
FALSE,"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",100000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",,414,tt0112462,en,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",6/16/95,336529144,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Courage now, truth always...",Batman Forever,FALSE,5.2,1529
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,649,tt0061395,fr,Belle de jour,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",10.142662,/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg,"[{'name': 'Paris Films Productions', 'id': 386}, {'name': 'Five Films', 'id': 387}, {'name': 'Robert et Raymond Hakim', 'id': 11290}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",5/24/67,0,101,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'mn', 'name': ''}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Luis Bunuel's Masterpiece of Erotica!,Belle de Jour,FALSE,7.3,163
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,1873,tt0112495,en,Beyond Rangoon,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",2.04189,/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]",[],5/24/95,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Truth has a witness,Beyond Rangoon,FALSE,6.4,21
FALSE,,0,"[{'id': 99, 'name': 'Documentary'}]",,26564,tt0109508,en,Crumb,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",3.620388,/yzK39sdkGoiSyKZEWT6HQzaC0BX.jpg,"[{'name': 'Superior Pictures', 'id': 4532}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/10/94,3174695,119,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Weird sex · Obsession · Comic books,Crumb,FALSE,7.6,71
FALSE,,27000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,8512,tt0112857,en,Devil in a Blue Dress,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",4.646132,/z0Boi5LktVxDMFnpyAqQEnYfPtM.jpg,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mundy Lane Entertainment', 'id': 2510}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/15/95,16140822,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.,Devil in a Blue Dress,FALSE,6.3,88
FALSE,"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",90000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,1572,tt0112864,en,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",15.138855,/ivpXGcsPZglyYrN65THWSD7JM3q.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/19/95,366101666,128,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ro', 'name': 'Română'}]",Released,Think fast. Look alive. Die hard.,Die Hard: With a Vengeance,FALSE,6.9,2094
FALSE,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,8973,tt0113690,en,Lord of Illusions,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",4.102409,/9pwdoUes8V8ntTetsKtv2ThGeIm.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Seraphim Films', 'id': 3557}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/25/95,0,119,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Trust Nothing Except Your Fear.,Lord of Illusions,FALSE,5.9,87
